species,mya,TE,n_HK,n_NDD,median_HK,median_NDD,p_value,r,sig
Human,0,Alu,1714,1025,0.5,0.25,1.2685434286307564e-53,-0.345,***
Orangutan,16,Alu,1442,910,0.5,0.25,5.114722685510777e-53,-0.367,***
Gibbon,20,Alu,1280,823,0.5,0.25,7.452579492559525e-31,-0.291,***
Macaque,25,Alu,1533,949,0.5,0.25,1.0847845838509664e-60,-0.384,***
Marmoset,40,Alu,1340,908,0.5,0.5,9.018794106606957e-10,-0.147,***
SquirrelMonkey,40,Alu,1307,897,0.5,0.25,6.817309427947516e-44,-0.341,***
MouseLemur,70,Alu,1324,899,0.25,0.0,2.7044287789757307e-29,-0.262,***
Mouse,90,B1B2,1605,960,0.75,0.25,1.0089729408431821e-70,-0.413,***
Human,0,LINE1,1714,1025,0.0,0.0,0.0037189781705479,-0.049,**
Orangutan,16,LINE1,1442,910,0.0,0.0,0.0096596267029149,-0.044,**
Gibbon,20,LINE1,1280,823,0.0,0.0,0.2723958444751,-0.013,ns
Macaque,25,LINE1,1533,949,0.0,0.0,0.0039907698962502,-0.048,**
Marmoset,40,LINE1,1340,908,0.25,0.25,0.7362540315215322,0.015,ns
Mouse,90,LINE1,1605,960,0.0,0.0,0.0591571996142953,-0.025,ns
Dog,95,LINE1,1497,880,0.25,0.25,0.8538639326177568,0.025,ns
