species,TE,p_value,q_value_BH,r
Human,Alu,1.2685434286307564e-53,6.342717143153782e-53,-0.345
Orangutan,Alu,5.114722685510777e-53,1.9180210070665415e-52,-0.367
Gibbon,Alu,7.452579492559525e-31,1.863144873139881e-30,-0.291
Macaque,Alu,1.0847845838509664e-60,8.135884378882248e-60,-0.384
Marmoset,Alu,9.018794106606955e-10,1.691023894988804e-09,-0.147
SquirrelMonkey,Alu,6.817309427947516e-44,2.045192828384255e-43,-0.341
MouseLemur,Alu,2.7044287789757307e-29,5.795204526376567e-29,-0.262
Mouse,B1B2,1.008972940843182e-70,1.513459411264773e-69,-0.413
Human,LINE1,0.0037189781705479,0.0059861548443753,-0.049
Orangutan,LINE1,0.0096596267029149,0.01317221823124759,-0.044
Gibbon,LINE1,0.2723958444751,0.31430289747126927,-0.013
Macaque,LINE1,0.0039907698962502,0.0059861548443753,-0.048
Marmoset,LINE1,0.7362540315215322,0.7888436052016417,0.015
Mouse,LINE1,0.0591571996142953,0.07394649951786912,-0.025
Dog,LINE1,0.8538639326177568,0.853863932617757,0.025
