karsilastirma,TE,n_HK,n_NDD,ins_HK,ins_NDD,dens_HK,dens_NDD,oran,r,p
tüm housekeeping,Alu,1714,1025,352,197,0.0513,0.048,0.936,-0.0046,0.3812121864847919
bağlam-eşleştirilmiş,Alu,1023,1023,211,197,0.0516,0.0481,0.934,-0.0065,0.35016817641623615
kısıtlılık-eşleştirilmiş,Alu,914,914,168,181,0.046,0.0495,1.077,0.0195,0.868129010093216
tüm housekeeping,SVA,1714,1025,109,35,0.0159,0.0085,0.537,-0.0281,0.0005924734652448283
bağlam-eşleştirilmiş,SVA,1023,1023,51,35,0.0125,0.0086,0.686,-0.0147,0.04624354064167369
kısıtlılık-eşleştirilmiş,SVA,914,914,46,33,0.0126,0.009,0.717,-0.011,0.11636072519993906
tüm housekeeping,LINE1,1714,1025,18,19,0.0026,0.0046,1.765,0.008,0.961014125976269
bağlam-eşleştirilmiş,LINE1,1023,1023,12,19,0.0029,0.0046,1.583,0.0068,0.8973755938645809
kısıtlılık-eşleştirilmiş,LINE1,914,914,15,15,0.0041,0.0041,1.0,0.0022,0.6460748410148154
tüm housekeeping,SINE,1714,1025,461,232,0.0672,0.0566,0.842,-0.0272,0.04902399558061095
bağlam-eşleştirilmiş,SINE,1023,1023,262,232,0.064,0.0567,0.885,-0.0163,0.18477135707957465
kısıtlılık-eşleştirilmiş,SINE,914,914,214,214,0.0585,0.0585,1.0,0.0111,0.7212424996921476
