offset_kb,side,mean_HK,mean_NDD,ratio,r,p
0,promoter,0.666,0.38,0.571,-0.3489,1.460532975581935e-54
10,upstream,1.074,0.834,0.776,-0.1976,1.810343929704735e-18
10,downstream,1.0,0.68,0.68,-0.2614,5.644706227936589e-31
25,upstream,1.039,0.802,0.772,-0.194,6.935468450566117e-18
25,downstream,0.973,0.689,0.708,-0.2388,3.5005182786502837e-26
50,upstream,0.977,0.753,0.771,-0.1953,3.9943412935816406e-18
50,downstream,0.944,0.644,0.682,-0.2527,3.9567244651704865e-29
100,upstream,0.92,0.71,0.771,-0.169,4.6153840459524396e-14
100,downstream,0.903,0.636,0.704,-0.2272,6.105025598681857e-24
250,upstream,0.771,0.636,0.824,-0.1267,1.0415283765333698e-08
250,downstream,0.807,0.615,0.763,-0.1573,1.7652321613572203e-12
