species,element,n_all_PC,n_NDD,n_HK,genome_mean,NDD_mean,HK_mean,NDD_over_genome,NDD_CI,HK_over_genome,HK_CI,p_NDD_below_genome
Human,Alu,20007,1009,1677,0.4953,0.3774,0.6644,0.762,"[0.700, 0.822]",1.341,"[1.287, 1.397]",1.1497828194339522e-18
Human,LINE-1,20007,1009,1677,0.1477,0.1122,0.1354,0.76,"[0.662, 0.864]",0.916,"[0.836, 0.998]",2.8339009419953637e-07
Orangutan,Alu,19552,910,1442,0.4777,0.3525,0.6439,0.738,"[0.676, 0.803]",1.348,"[1.287, 1.410]",9.5850591870765e-20
Orangutan,LINE-1,19552,910,1442,0.1399,0.0989,0.1163,0.707,"[0.607, 0.813]",0.832,"[0.747, 0.922]",1.0655206382840842e-07
Gibbon,Alu,19987,823,1280,0.4865,0.401,0.6301,0.824,"[0.755, 0.892]",1.295,"[1.233, 1.355]",3.143452632948119e-10
Gibbon,LINE-1,19987,823,1280,0.1671,0.123,0.1336,0.736,"[0.640, 0.832]",0.799,"[0.720, 0.886]",6.846819355381078e-05
Macaque,Alu,21351,948,1529,0.5322,0.3676,0.7045,0.691,"[0.633, 0.751]",1.324,"[1.264, 1.381]",7.055800486516327e-26
Macaque,LINE-1,21351,948,1529,0.1586,0.0955,0.1138,0.602,"[0.517, 0.693]",0.717,"[0.645, 0.791]",9.107998705308276e-16
Marmoset,Alu,21878,908,1339,0.6185,0.5914,0.7745,0.956,"[0.890, 1.024]",1.252,"[1.186, 1.321]",0.11073182160455974
Marmoset,LINE-1,21878,908,1339,0.3447,0.3287,0.3379,0.954,"[0.878, 1.033]",0.98,"[0.910, 1.051]",0.47234036239920446
Squirrel monkey,Alu,15158,897,1307,0.5077,0.398,0.6773,0.784,"[0.719, 0.844]",1.334,"[1.273, 1.395]",8.185894824821194e-16
Squirrel monkey,LINE-1,15158,897,1307,0.1282,0.1221,0.118,0.952,"[0.828, 1.078]",0.921,"[0.819, 1.026]",0.09712051585608844
Mouse lemur,Alu,18577,899,1324,0.2454,0.1769,0.3236,0.721,"[0.651, 0.793]",1.319,"[1.238, 1.404]",3.9270091379243083e-11
Mouse lemur,LINE-1,18577,899,1324,0.1751,0.1154,0.146,0.659,"[0.575, 0.752]",0.834,"[0.754, 0.915]",1.235431713253701e-11
Mouse,B1/B2,21833,958,1603,0.5406,0.4478,0.861,0.828,"[0.763, 0.895]",1.593,"[1.530, 1.657]",8.132540880990209e-11
Mouse,LINE-1,21833,958,1603,0.1432,0.0712,0.0728,0.497,"[0.420, 0.584]",0.509,"[0.454, 0.566]",2.3970551900635366e-24
Dog,Can-SINE,19511,871,1456,0.551,0.5405,0.5788,0.981,"[0.913, 1.053]",1.051,"[0.994, 1.110]",0.4857766884067919
Dog,LINE-1,19511,871,1456,0.3912,0.384,0.37,0.982,"[0.900, 1.064]",0.946,"[0.878, 1.013]",0.6517295191745164
