decile,n,loeuf_median,alu_mean,alu_median,n_ndd,alu_mean_ndd,alu_mean_other,p_ndd_vs_rest,r_ndd_vs_rest
1,1778,0.251,0.4686,0.25,351,0.3319,0.5023,1.6201420038228752e-11,-0.222
2,1775,0.449,0.4365,0.25,149,0.3523,0.4442,0.0006707210241153645,-0.154
3,1769,0.607,0.438,0.25,108,0.3912,0.441,0.13824841519149317,-0.061
4,1775,0.745,0.5032,0.25,79,0.4335,0.5065,0.13511397432904343,-0.072
5,1766,0.864,0.5386,0.5,67,0.5187,0.5394,0.3844166453579446,-0.021
6,1771,0.974,0.5399,0.5,49,0.3776,0.5446,0.014226381161822151,-0.18
7,1776,1.086,0.5617,0.5,48,0.4948,0.5635,0.31553972987276147,-0.04
8,1770,1.229,0.538,0.5,40,0.4688,0.5396,0.31565309178037976,-0.044
9,1772,1.448,0.509,0.25,27,0.5185,0.5089,0.4322181837521594,-0.019
10,1769,1.846,0.4542,0.25,20,0.3,0.456,0.08106922264929267,-0.177
