density,category,window
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
2.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
2.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
3.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
2.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
1.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
0.0,HighConfNDD,500
