species,mya,TE,n_HK,n_NDD,median_HK,median_NDD,p_value,r,sig
Human,0,Alu,1714,1025,0.5,0.25,1.2685434286307564e-53,-0.345,***
Human,0,LINE1,1714,1025,0.0,0.0,0.003718978170547935,-0.049,**
Orangutan,16,Alu,1442,910,0.5,0.25,5.114722685510777e-53,-0.367,***
Orangutan,16,LINE1,1442,910,0.0,0.0,0.009659626702914906,-0.044,**
Gibbon,20,Alu,1280,823,0.5,0.25,7.452579492559525e-31,-0.291,***
Gibbon,20,LINE1,1280,823,0.0,0.0,0.2723958444751,-0.013,ns
Macaque,25,Alu,1533,949,0.5,0.25,1.0847845838509664e-60,-0.384,***
Macaque,25,LINE1,1533,949,0.0,0.0,0.003990769896250273,-0.048,**
Marmoset,40,Alu,1340,908,0.5,0.5,9.018794106606958e-10,-0.147,***
Marmoset,40,LINE1,1340,908,0.25,0.25,0.7362540315215322,0.015,ns
Mouse,90,LINE1,1605,960,0.0,0.0,0.05915719961429537,-0.025,ns
Dog,95,LINE1,1497,880,0.25,0.25,0.8538639326177568,0.025,ns
