species,element,min_match,n_NDD,n_HK,lift_rate_NDD,lift_rate_HK,rate_gap,dropped_NDD,dropped_HK,mean_NDD,mean_HK,ratio,r,p
Orangutan,Alu,0.1,1012,1697,98.7,99.0,-0.3,8,12,0.3807,0.6645,0.573,-0.3445,3.544012072574319e-52
Orangutan,Alu,0.3,1014,1697,98.9,99.0,-0.1,7,13,0.38,0.6645,0.572,-0.3454,1.5800503740147696e-52
Orangutan,Alu,0.5,1009,1699,98.4,99.1,-0.7,5,10,0.3768,0.6645,0.567,-0.3477,4.722591114752565e-53
Gibbon,Alu,0.1,961,1604,93.8,93.6,0.2,37,58,0.376,0.6313,0.596,-0.3341,9.550415304602614e-47
Gibbon,Alu,0.3,974,1631,95.0,95.2,-0.1,35,52,0.375,0.6339,0.592,-0.338,1.8227338237926404e-48
Gibbon,Alu,0.5,966,1620,94.2,94.5,-0.3,26,29,0.372,0.6358,0.585,-0.3424,2.6969640507129587e-49
Macaque,Alu,0.1,1006,1686,98.1,98.4,-0.2,12,20,0.3856,0.6898,0.559,-0.3636,1.8775030022676004e-57
Macaque,Alu,0.3,1006,1689,98.1,98.5,-0.4,12,20,0.3859,0.6909,0.559,-0.3639,1.3919475986635908e-57
Macaque,Alu,0.5,1008,1689,98.3,98.5,-0.2,7,15,0.3865,0.6918,0.559,-0.3633,1.7812688424701982e-57
Marmoset,Alu,0.1,981,1649,95.7,96.2,-0.5,18,25,0.4089,0.7219,0.566,-0.3501,3.0961585460289726e-52
Marmoset,Alu,0.3,995,1681,97.1,98.1,-1.0,18,22,0.4128,0.7253,0.569,-0.3484,1.5655210700474955e-52
Marmoset,Alu,0.5,985,1677,96.1,97.8,-1.7,14,17,0.404,0.7241,0.558,-0.3555,3.1254063020905015e-54
Squirrel monkey,Alu,0.1,940,1592,91.7,92.9,-1.2,36,56,0.3605,0.6227,0.579,-0.3445,7.518533105747161e-49
Squirrel monkey,Alu,0.3,961,1626,93.8,94.9,-1.1,29,45,0.365,0.6285,0.581,-0.342,3.567295505742617e-49
Squirrel monkey,Alu,0.5,933,1554,91.0,90.7,0.4,4,10,0.3495,0.6202,0.563,-0.3505,7.135470277722693e-50
Mouse,B1/B2,0.1,812,1229,79.2,71.7,7.5,140,404,0.2656,0.5618,0.473,-0.3433,1.0197445131071176e-42
Mouse,B1/B2,0.3,805,1186,78.5,69.2,9.3,80,203,0.2567,0.5339,0.481,-0.3398,2.56160421439766e-41
Mouse,B1/B2,0.5,726,897,70.8,52.3,18.5,17,15,0.2205,0.4672,0.472,-0.3281,1.689392633751506e-33
Dog,LINE-1,0.1,903,1484,88.1,86.6,1.5,70,170,0.0885,0.0977,0.907,-0.0195,0.13487052892647772
Dog,LINE-1,0.3,908,1483,88.6,86.5,2.1,49,106,0.0865,0.0966,0.895,-0.02,0.12737912851115196
Dog,LINE-1,0.5,846,1281,82.5,74.7,7.8,14,22,0.0767,0.0922,0.832,-0.0322,0.03928558410152051
