ndd_gene	control_gene	ndd_chrom	ndd_start	ndd_end	control_chrom	control_start	control_end	ndd_loeuf	control_loeuf	ndd_brain_log	control_brain_log	ndd_gc	control_gc
SAMD11	C1QTNF12	chr1	921923	925923	chr1	1244722	1248722	1.764	1.788	0.6666677114585889	0.5325926028264389	0.7005	0.6925
SKI	CPLX1	chr1	2225388	2229388	chr4	824129	828129	0.809	0.756	2.3736088910365094	2.491927309128466	0.70975	0.7205
RERE	GPAT4	chr1	8846921	8850921	chr8	41575187	41579187	0.459	0.433	1.8858472672881537	1.8971287411684357	0.5095	0.51025
CA6	GDF2	chr1	8943867	8947867	chr10	47320454	47324454	1.218	1.208	0.008313059318620862	0.016557902529490173	0.502	0.503
CASZ1	WT1	chr1	10794650	10798650	chr11	32433564	32437564	0.285	0.253	0.19252340840217508	0.22325549384492258	0.59425	0.602
MTOR	KDM4A	chr1	11260556	11264556	chr1	43648149	43652149	0.268	0.258	1.448333686884301	1.427477994399611	0.48675	0.488
MTHFR	CEP250	chr1	11804455	11808455	chr20	35453164	35457164	0.859	0.86	1.219120646938494	1.2153202513299302	0.51275	0.51075
SPEN	ANKRD52	chr1	15834095	15838095	chr12	56256384	56260384	0.094	0.122	1.6820638078487404	1.6536234514050756	0.5615	0.564
EPHB2	RET	chr1	22708839	22712839	chr10	43075064	43079064	0.265	0.24	0.7209931749843446	0.8631854109402678	0.64175	0.64725
HNRNPR	RBBP4	chr1	23342336	23346336	chr1	32649142	32653142	0.129	0.144	1.6800044530553015	1.7346766420453803	0.51175	0.50625
AHDC1	UBTF	chr1	27602431	27606431	chr17	44219626	44223626	0.168	0.133	1.7956673346967738	1.8686056498754133	0.612	0.6215
TMEM39B	LHX6	chr1	32070031	32074031	chr9	122227626	122231626	0.595	0.593	1.0173497578653266	1.0233586532620633	0.5195	0.5185
DLGAP3	FBRS	chr1	34927650	34931650	chr16	30656431	30660431	0.367	0.354	1.75613611568248	1.7671261697177185	0.62025	0.6185
AGO4	IQGAP1	chr1	35806016	35810016	chr15	90386242	90390242	0.393	0.395	1.3708404911831567	1.422047864705878	0.539	0.5355
AGO1	TOPBP1	chr1	35867808	35871808	chr3	133660380	133664380	0.164	0.225	1.2818284665605182	1.241120443965281	0.44425	0.44075
AGO3	LIN54	chr1	35928718	35932718	chr4	83010926	83014926	0.232	0.204	0.9388588227797203	0.9174288316903864	0.482	0.4855
GRIK3	KLHL29	chr1	37032515	37036515	chr2	23383179	23387179	0.396	0.398	0.946668866947194	0.9590638223359822	0.65325	0.6535
MTF1	SERTAD2	chr1	37857592	37861592	chr2	64749005	64753005	0.417	0.421	0.9925985796215991	1.0180606495633082	0.5055	0.5075
PPT1	CAP2	chr1	40095260	40099260	chr6	17391595	17395595	0.733	0.763	2.051102334407441	2.0531975698777942	0.45625	0.46125
SMAP2	RSL24D1	chr1	40342850	40346850	chr15	55195049	55199049	0.479	0.546	1.919758825356843	1.880909012295526	0.418	0.421
RIMS3	GBA2	chr1	40663682	40667682	chr9	35747228	35751228	0.746	0.773	2.1680494046824834	2.139816140610576	0.56225	0.5585
HIVEP3	RBMS1	chr1	42033925	42037925	chr2	160491807	160495807	0.417	0.411	0.9974794375309557	1.0310455252497093	0.50525	0.5115
SZT2	FEM1C	chr1	43387882	43391882	chr5	115542775	115546775	0.582	0.585	1.3671750826740303	1.3808676158575721	0.4825	0.48675
POMGNT1	TPD52	chr1	46218305	46222305	chr8	80229232	80233232	0.815	0.829	1.7644190002806315	1.7381111659680641	0.50175	0.50625
AGBL4	PLB1	chr1	50021954	50025954	chr2	28455145	28459145	1.107	1.114	0.5960029703843891	0.5478964876137998	0.47475	0.472
SCP2	PSMD5	chr1	52925276	52929276	chr9	120840951	120844951	0.944	0.921	1.477393327354464	1.5127270766242447	0.5045	0.50175
CPT2	ADAP2	chr1	53194792	53198792	chr17	30904344	30908344	1.038	1.031	0.8446306117811543	0.8411128413245854	0.50075	0.5005
GLIS1	ADCY8	chr1	53737164	53741164	chr8	131038909	131042909	0.6	0.586	0.9070962755053505	0.9464100125896259	0.60075	0.613
NFIA	COPB1	chr1	60863259	60867259	chr11	14498027	14502027	0.175	0.269	1.6396040117808546	1.6364507841537907	0.3885	0.39875
PATJ	HACD3	chr1	61740477	61744477	chr15	65528418	65532418	0.841	0.847	1.7624009465893593	1.7291096891363746	0.5215	0.5185
DOCK7	CDH7	chr1	62686386	62690386	chr18	65748252	65752252	0.551	0.552	0.8331656057039998	0.8616001175704977	0.4965	0.494
SRSF11	CCT8	chr1	70203682	70207682	chr21	29071797	29075797	0.234	0.287	2.1454792116374346	2.0708133597027154	0.421	0.42825
NEGR1	FBXO3	chr1	72280539	72284539	chr11	33772543	33776543	0.429	0.45	1.3825501226036625	1.3650010026287434	0.48675	0.49175
PTBP2	FNIP2	chr1	96719665	96723665	chr4	158767026	158771026	0.42	0.42	1.0836315990368492	1.1121322480074234	0.488	0.4885
DPYD	ANO5	chr1	97993000	97997000	chr11	21780659	21784659	1.09	1.034	0.9582054065347523	0.9912074626729886	0.34875	0.361
NTNG1	DGKI	chr1	107138007	107142007	chr7	137845092	137849092	0.444	0.428	0.8902382077490658	0.8960359817723158	0.53425	0.54
KCNA2	SACM1L	chr1	110629474	110633474	chr3	45687056	45691056	0.537	0.512	1.566709651202499	1.55104112958063	0.47575	0.4755
ADORA3	RPAP2	chr1	111501633	111505633	chr1	92297059	92301059	1.204	1.212	1.199102148108044	1.1890774394918544	0.4205	0.42325
KCND3	GNAZ	chr1	111987668	111991668	chr22	23068519	23072519	0.303	0.302	1.8036933185278863	1.8149883283359753	0.626	0.621
TRIM33	SBNO1	chr1	114509203	114513203	chr12	123362847	123366847	0.23	0.182	1.4253401792457832	1.461458006748325	0.54525	0.54225
AMPD1	SERPINB10	chr1	114693618	114697618	chr18	63905958	63909958	1.036	1.045	0.011895852222429606	0.0	0.38575	0.38525
CSDE1	RPL35A	chr1	114756676	114760676	chr3	197948190	197952190	0.295	0.202	2.2814310988609674	2.367452834302446	0.446	0.448
SLC22A15	HEATR6	chr1	115974513	115978513	chr17	60076922	60080922	0.863	0.882	1.223490749126437	1.2376015396960032	0.465	0.4665
ATP1A1	FKBP8	chr1	116370668	116374668	chr19	18542077	18546077	0.188	0.266	2.744691881289	2.701289878489111	0.56475	0.57225
APH1A	SNX6	chr1	150267580	150271580	chr14	34628160	34632160	0.806	0.811	1.7815241679570082	1.7672137681530486	0.52	0.51825
SETDB1	IKZF5	chr1	150924263	150928263	chr10	123006812	123010812	0.29	0.286	1.3949102497467878	1.384552323130015	0.47825	0.4745
POGZ	PIP4K2B	chr1	151457494	151461494	chr17	38798126	38802126	0.198	0.224	2.093428689855454	2.116136006099228	0.532	0.531
ILF2	SUB1	chr1	153669028	153673028	chr5	32529633	32533633	0.324	0.394	1.9283343911416404	1.8867737703585739	0.475	0.47275
UBAP2L	CAMSAP2	chr1	154218179	154222179	chr1	200736893	200740893	0.159	0.196	1.6503065515548276	1.672567012091263	0.50875	0.51275
CHRNB2	BRI3BP	chr1	154565778	154569778	chr12	124991645	124995645	1.116	1.099	1.3025863209186943	1.331680308168973	0.534	0.53575
ASH1L	NR2C2	chr1	155561162	155565162	chr3	14945583	14949583	0.104	0.159	1.604583496678276	1.5819814986449463	0.5365	0.53625
IQGAP3	CLEC4M	chr1	156570604	156574604	chr19	7761210	7765210	0.882	0.869	0.20597317489548914	0.18820039539272204	0.4895	0.4925
NTRK1	DBH	chr1	156813636	156817636	chr9	133634363	133638363	0.954	0.936	0.5660542954915695	0.5460216912665481	0.5775	0.58175
PYHIN1	ZSWIM2	chr1	158928796	158932796	chr2	186847208	186851208	1.023	1.056	0.11201750253963057	0.0921589963912673	0.37925	0.38125
FCRL6	BCO1	chr1	159798511	159802511	chr16	81236689	81240689	1.201	1.17	0.22847196518741428	0.2158471266967772	0.45225	0.45325
KCNJ10	IQSEC3	chr1	160068483	160072483	chr12	64767	68767	0.676	0.732	2.1238418447404683	2.119816545937216	0.53	0.53025
ATP1A2	CAMKK2	chr1	160113759	160117759	chr12	121296308	121300308	0.598	0.649	2.745416780965561	2.6820502616159194	0.5475	0.548
PBX1	ING3	chr1	164553584	164557584	chr7	120948763	120952763	0.212	0.277	1.269129848984262	1.188737295892673	0.40025	0.396
KLHL20	RARB	chr1	173712941	173716941	chr3	24685887	24689887	0.538	0.477	1.1093388933169746	1.1626330996669905	0.40475	0.4025
ASTN1	TNR	chr1	177162973	177166973	chr1	175741595	175745595	0.392	0.373	1.5327059798431921	1.546768388586455	0.45375	0.45125
CACNA1E	ETV5	chr1	181315690	181319690	chr3	186108318	186112318	0.221	0.233	1.3286934869321436	1.3228082947996571	0.53	0.53925
PTGS2	L3MBTL3	chr1	186678922	186682922	chr6	130011699	130015699	0.33	0.326	0.5950385385871415	0.6489861146357613	0.3965	0.3955
ASPM	CENPF	chr1	197144694	197148694	chr1	214601185	214605185	0.766	0.734	0.10154912249389358	0.11709853807453897	0.44075	0.4415
PTPRC	ADGRL2	chr1	198636457	198640457	chr1	81304147	81308147	0.343	0.301	1.0354529533059473	1.0707727729850929	0.3335	0.3365
KIF14	NR5A2	chr1	200618751	200622751	chr1	200025614	200029614	0.65	0.619	0.03235403450251515	0.05283124805622249	0.4315	0.42825
KDM5B	TBC1D1	chr1	202806487	202810487	chr4	37889084	37893084	0.858	0.859	1.1687036802490767	1.1716533339490591	0.55	0.549
ZC3H11A	FIGN	chr1	203793623	203797623	chr2	163734012	163738012	0.287	0.276	0.416866747439996	0.5022112848255315	0.4565	0.4595
CNTN2	LPCAT4	chr1	205040937	205044937	chr15	34365196	34369196	0.542	0.616	2.255231486465216	2.267314904601727	0.576	0.57575
RBBP5	CTDSPL2	chr1	205120015	205124015	chr15	44425622	44429622	0.144	0.184	1.2991585027922476	1.2379984034275722	0.453	0.45625
AVPR1B	RAET1G	chr1	206115699	206119699	chr6	149921121	149925121	1.194	1.157	0.23006785243653344	0.19592427095278436	0.55825	0.56025
RASSF5	TBXAS1	chr1	206505531	206509531	chr7	139775051	139779051	0.947	0.948	0.8434034715048625	0.8385764696658043	0.585	0.57825
HSD11B1	SLC9B2	chr1	209684178	209688178	chr4	103083829	103087829	0.975	0.992	1.405235338745611	1.4153890694205515	0.399	0.3995
USH2A	ZPBP	chr1	216421448	216425448	chr7	50119329	50123329	0.855	0.84	0.08635235504965455	0.06505249069940641	0.39	0.387
MARK1	STON2	chr1	220526136	220530136	chr14	81434465	81438465	0.577	0.601	1.33615742373872	1.3302696610852496	0.5245	0.52675
NUP133	PROSER1	chr1	229506341	229510341	chr13	39036089	39040089	0.57	0.598	1.5310149961199928	1.5177921483574581	0.4575	0.45775
DISC1	PDZRN4	chr1	231624790	231628790	chr12	41186320	41190320	0.893	0.894	0.5434807294324899	0.591595458015473	0.504	0.502
CHRM3	SEMA6D	chr1	239384565	239388565	chr15	47182101	47186101	0.42	0.396	0.9996289540532749	1.0492878143895175	0.4795	0.48475
RGS7	GLCE	chr1	241355374	241359374	chr15	69158584	69162584	0.472	0.515	1.8737198296538398	1.8628549979757814	0.51775	0.515
HNRNPU	VCP	chr1	244862560	244866560	chr9	35070668	35074668	0.111	0.134	2.114804405669539	2.0413374077973487	0.53975	0.53575
OR1C1	KRTAP19-3	chr1	247758556	247762556	chr21	30490013	30494013	1.87	1.868	0.0	0.0	0.341	0.34375
OR2M4	F11	chr1	248229417	248233417	chr4	186264189	186268189	1.136	1.145	0.031169112147188753	0.04045782811879164	0.389	0.38575
SNTG2	PTGER2	chr2	948849	952849	chr14	52312305	52316305	1.256	1.241	0.16728601714617977	0.18504808705027279	0.534	0.5295
TPO	HEATR9	chr2	1372066	1376066	chr17	35866891	35870891	0.968	0.959	0.0673152872248903	0.06363692114643987	0.46225	0.4635
PXDN	PHF21B	chr2	1742852	1746852	chr22	45008005	45012005	0.677	0.676	0.7307193064741099	0.6976843286813296	0.62325	0.62375
MYT1L	PLCL2	chr2	2329664	2333664	chr3	16800651	16804651	0.085	0.091	1.5259888568750795	1.5358888100900818	0.384	0.39575
CMPK2	HEXIM2	chr2	6864635	6868635	chr17	45158700	45162700	1.708	1.694	0.7803417990325417	0.8189704199134351	0.5135	0.5135
ASAP2	SGMS1	chr2	9204765	9208765	chr10	50623163	50627163	0.465	0.439	1.3050739343741835	1.2698723725945056	0.56325	0.55925
KCNS3	NHSL1	chr2	17875847	17879847	chr6	138690571	138694571	0.645	0.638	0.8682711020656297	0.8711454354767282	0.577	0.56725
NCOA1	RANBP3	chr2	24489254	24493254	chr19	5976142	5980142	0.298	0.281	1.6529856563057423	1.6900356273283341	0.5705	0.57275
ADCY3	CYB561	chr2	24918237	24922237	chr17	63444354	63448354	0.695	0.707	1.4982167912092454	1.4535507171673303	0.61775	0.61325
DNMT3A	PUSL1	chr2	25340590	25344590	chr1	1306597	1310597	1.998	1.985	1.3403548670783418	1.3267105854939463	0.68775	0.6905
GALNT14	SLC19A3	chr2	31153202	31157202	chr2	227716028	227720028	0.951	0.968	0.5952536546405668	0.6101286788280176	0.459	0.45725
MEMO1	COL12A1	chr2	32009230	32013230	chr6	75204267	75208267	0.351	0.375	0.6623365505950533	0.6266975123986488	0.569	0.563
SPAST	RRS1	chr2	32061556	32065556	chr8	66427014	66431014	0.69	0.713	1.3162681651363852	1.3313746515746936	0.5135	0.51375
BIRC6	NUFIP2	chr2	32355023	32359023	chr17	29292148	29296148	0.213	0.199	1.354617379927144	1.4069742579132738	0.51975	0.51975
FBXO11	FBXW7	chr2	47904498	47908498	chr4	152534092	152538092	0.215	0.181	1.7702634752617565	1.7623716739010817	0.549	0.5465
NRXN1	NR3C1	chr2	51223575	51227575	chr5	143433512	143437512	0.317	0.294	1.4105072966227168	1.4764954199564702	0.39225	0.39475
SPTBN1	SAFB	chr2	54454327	54458327	chr19	5621035	5625035	0.159	0.219	2.1243835707199064	2.149089729070769	0.5835	0.58275
BCL11A	GMEB1	chr2	60552467	60556467	chr1	28666778	28670778	0.125	0.151	1.0725623595349585	1.0035286007115518	0.56525	0.56375
PAPOLG	ZNF618	chr2	60754253	60758253	chr9	113874282	113878282	0.471	0.459	1.0831764181645331	1.0532590416859493	0.46325	0.46475
XPO1	U2SURP	chr2	61536741	61540741	chr3	142962497	142966497	0.083	0.073	1.7303736206221818	1.706350738028585	0.54375	0.53775
CCT4	PHB2	chr2	61886671	61890671	chr12	6968780	6972780	0.647	0.648	2.0957445413660456	2.1137261507609724	0.50025	0.502
OTX1	ITGA9	chr2	63048057	63052057	chr3	37450115	37454115	0.508	0.555	0.5998830720736879	0.6197109257432325	0.60325	0.59025
EXOC6B	SCAPER	chr2	72824041	72828041	chr15	76903444	76907444	0.688	0.666	1.23200448297183	1.2371062074055088	0.48875	0.49075
RAB11FIP5	TPMT	chr2	73154721	73158721	chr6	18153077	18157077	0.846	0.823	1.51445344606634	1.5301663882043652	0.50225	0.50375
ST3GAL5	NCK1	chr2	85903199	85907199	chr3	136860208	136864208	0.736	0.72	1.2180652464014117	1.224698772471699	0.5085	0.507
NPAS2	PKNOX2	chr2	100818139	100822139	chr11	125162687	125166687	0.338	0.391	1.4109778900963985	1.4142076469332243	0.60175	0.5985
IL1R2	DEPDC4	chr2	101989960	101993960	chr12	100265079	100269079	1.387	1.415	0.14355280456869776	0.1722207123417451	0.48225	0.48075
SH3RF3	PTPRG	chr2	109127205	109131205	chr3	61559569	61563569	0.694	0.714	0.8714007013007284	0.8850200970697611	0.60175	0.6075
DPP10	TLK1	chr2	114440299	114444299	chr2	171229314	171233314	0.378	0.338	1.235033271006892	1.3026425735978784	0.3565	0.371
CNTNAP5	SPDYE5	chr2	124023287	124027287	chr7	75490320	75494320	0.632	0.657	0.24719992663961887	0.21061757963862807	0.47625	0.47525
NCKAP5	AKAP3	chr2	133566463	133570463	chr12	4647051	4651051	0.628	0.62	0.5420644341808661	0.5742142119318876	0.41875	0.42575
MCM6	NFS1	chr2	135874443	135878443	chr20	35697355	35701355	0.676	0.669	1.3652426890050275	1.4064567197497766	0.50625	0.50375
MBD5	ISL1	chr2	148019011	148023011	chr5	51381448	51385448	0.161	0.235	0.7015187679820077	0.6917099239417073	0.46475	0.46025
EPC2	KIT	chr2	148642440	148646440	chr4	54655267	54659267	0.203	0.24	1.4748904999819459	1.4884999518409305	0.53	0.5305
KIF5C	RPL13	chr2	148873227	148877227	chr16	89558677	89562677	0.249	0.25	2.4854531028990006	2.475801892745725	0.56575	0.56375
GALNT13	ST8SIA3	chr2	153869922	153873922	chr18	57350557	57354557	0.735	0.735	1.5660967585513261	1.5573098598604906	0.55	0.5525
NR4A2	CAND1	chr2	156340348	156344348	chr12	67267358	67271358	0.093	0.076	1.53127577300157	1.5375924475173413	0.48725	0.487
GPD2	ACSS2	chr2	156433290	156437290	chr20	34870146	34874146	0.796	0.785	1.514376391676568	1.497331944790089	0.519	0.52075
ERMN	CHGB	chr2	157325713	157329713	chr20	5909510	5913510	0.963	0.754	2.7846736260301648	2.8916004508913375	0.40825	0.41175
BAZ2B	DDR2	chr2	159614569	159618569	chr1	162629373	162633373	0.386	0.375	1.1715626484153756	1.158477082464632	0.42375	0.43175
TBR1	TOB1	chr2	161414297	161418297	chr17	50865978	50869978	0.246	0.266	1.633550256835836	1.6095848055555546	0.531	0.529
SLC4A10	MAPKAP1	chr2	161422332	161426332	chr9	125705234	125709234	0.403	0.369	1.4733760100736983	1.4911851382585477	0.4845	0.482
DPP4	DRC7	chr2	162072394	162076394	chr16	57692793	57696793	0.901	0.883	0.3186121200526631	0.30741045421367436	0.49675	0.5025
SCN3A	CFH	chr2	165202050	165206050	chr1	196649754	196653754	0.348	0.43	1.1455040648571935	1.0510212491661108	0.3485	0.34975
SCN2A	PSMC2	chr2	165192993	165196993	chr7	103326570	103330570	0.161	0.274	1.8529804857114454	1.7542007422628114	0.37575	0.37325
SCN1A	TNPO1	chr2	166180806	166184806	chr5	72814312	72818312	0.098	0.152	1.207847019992669	1.2788770144792256	0.43	0.428
SCN9A	SP110	chr2	166374001	166378001	chr2	230223729	230227729	0.855	0.826	0.929845346762217	0.9701650296605971	0.44475	0.44525
STK39	MAPK1	chr2	168245595	168249595	chr22	21865680	21869680	0.381	0.377	1.8091467702865744	1.8024631107838145	0.5255	0.523
LRP2	TOX	chr2	169360534	169364534	chr8	59117147	59121147	0.352	0.326	1.1802090543841002	1.2280845333667965	0.5715	0.57025
UBR3	LMTK2	chr2	169825454	169829454	chr7	98104862	98108862	0.427	0.408	1.436467977561745	1.400572524359314	0.50475	0.5025
SLC25A12	PDP1	chr2	171997859	172001859	chr8	93855807	93859807	0.525	0.532	1.770402026179871	1.7206132140608037	0.46325	0.46075
DLX2	TNFRSF8	chr2	172100900	172104900	chr1	12061303	12065303	0.529	0.536	0.5561444370702608	0.5623844730819499	0.546	0.55
RAPGEF4	RNF11	chr2	172733274	172737274	chr1	51234273	51238273	0.542	0.537	2.2844239655660874	2.287600206359951	0.503	0.507
TTN	DSG1	chr2	178828802	178832802	chr18	31316160	31320160	0.479	0.455	0.10217874870990158	0.07619609298462357	0.35875	0.361
ZNF385B	SRPK1	chr2	179859612	179863612	chr6	35919342	35923342	0.751	0.763	1.488449181246845	1.468886171118963	0.5055	0.50625
NCKAP1	NUP153	chr2	183036858	183040858	chr6	17704925	17708925	0.14	0.172	1.5010962510242802	1.5065090912128394	0.505	0.50125
ZNF804A	NDC1	chr2	184596529	184600529	chr1	53836463	53840463	0.37	0.375	0.9619969236289903	0.8844095935233585	0.47875	0.4755
INPP1	PWP1	chr2	190341570	190345570	chr12	107683799	107687799	0.813	0.833	1.6635388590350695	1.6486985311148807	0.478	0.47475
HECW2	CREM	chr2	196591684	196595684	chr10	35124791	35128791	0.498	0.533	1.0888693383965993	1.0576204663650577	0.52775	0.52475
SF3B1	COPA	chr2	197433079	197437079	chr1	160341566	160345566	0.1	0.098	2.131278536991779	2.0985745100257076	0.449	0.44775
SATB2	WAPL	chr2	199469266	199473266	chr10	86519792	86523792	0.077	0.083	1.1870918548596583	1.257200828203951	0.524	0.5165
PARD3B	KRT13	chr2	204543475	204547475	chr17	41503705	41507705	0.912	0.905	0.6897943935054018	0.7119100982684087	0.5095	0.51375
NRP2	NOMO2	chr2	205679990	205683990	chr16	18560211	18564211	0.562	0.566	0.9145160998981432	0.9139631816394219	0.50075	0.4995
UNC80	PNRC2	chr2	209769569	209773569	chr1	23954839	23958839	0.48	0.451	1.7166226067378	1.7482477383923984	0.4535	0.4565
VIL1	SIGLEC12	chr2	218417121	218421121	chr19	51499800	51503800	0.946	0.965	0.038831337448953424	0.01988275645895669	0.53975	0.539
PLCD4	PCDHGA5	chr2	218605855	218609855	chr5	141362162	141366162	0.803	0.794	0.6335987243848136	0.6765838792629143	0.4525	0.45125
RNF25	CIAPIN1	chr2	218670002	218674002	chr16	57445420	57449420	0.68	0.687	1.6554035425455857	1.6619924216544906	0.50025	0.5015
CUL3	UGCG	chr2	224583397	224587397	chr9	111894814	111898814	0.365	0.36	1.3779706649158707	1.3401048757299563	0.50925	0.509
DNER	RNF144A	chr2	229712555	229716555	chr2	6915412	6919412	0.561	0.55	2.0842151093399752	2.047247601403863	0.56575	0.56625
TRIP12	NUP98	chr2	229921239	229925239	chr11	3795792	3799792	0.145	0.155	1.4332320316583917	1.369503435870929	0.52625	0.5215
GIGYF2	BZW1	chr2	232695299	232699299	chr2	200808594	200812594	0.15	0.186	1.315298452873624	1.2987723206817785	0.5095	0.5105
SPP2	IZUMO3	chr2	234048679	234052679	chr9	24543946	24547946	1.655	1.655	0.0	0.0	0.4075	0.40725
AGAP1	PBX3	chr2	235492043	235496043	chr9	125745345	125749345	0.366	0.356	1.4535323761251069	1.495302841533824	0.64225	0.638
PER2	JAKMIP3	chr2	238288102	238292102	chr10	132034336	132038336	0.67	0.686	1.2526151957049285	1.2621305903237203	0.58625	0.5835
HDAC4	HELZ	chr2	239399654	239403654	chr17	67243989	67247989	0.192	0.16	1.1366983763604814	1.1613410451891466	0.58425	0.58975
KIF1A	SYT1	chr2	240822293	240826293	chr12	78861993	78865993	0.304	0.332	2.522226379539939	2.510980426759858	0.4655	0.46675
HDLBP	EIF2S2	chr2	241315061	241319061	chr20	34110243	34114243	0.283	0.261	1.8194432465134756	1.792272592424645	0.51825	0.518
PDCD1	TNNT3	chr2	241856894	241860894	chr11	1917703	1921703	0.891	0.866	0.16612212036221957	0.22556487152695967	0.6395	0.64
CNTN6	IFI44L	chr3	1090658	1094658	chr1	78617902	78621902	1.316	1.266	1.2291005173766474	1.0854047573314234	0.362	0.362
CNTN4	SOX4	chr3	2096813	2100813	chr6	21591751	21595751	0.727	0.72	1.1378065295094468	1.1619696073626038	0.542	0.537
ITPR1	PRRC2B	chr3	4491345	4495345	chr9	131371636	131375636	0.325	0.338	1.8875745438520604	1.877053284398034	0.50175	0.49675
GRM7	ZC3HAV1	chr3	6768001	6772001	chr7	139130122	139134122	0.549	0.595	0.7696483062719949	0.8092929961383661	0.419	0.4105
OXTR	NPPA	chr3	8767628	8771628	chr1	11846345	11850345	1.278	1.301	0.8564612245281399	0.8335461478401751	0.53875	0.5285
SRGAP3	IL6ST	chr3	9361053	9365053	chr5	55993022	55997022	0.409	0.372	1.7435693389465816	1.8178534815729246	0.45525	0.4625
SETD5	ZMIZ2	chr3	9395615	9399615	chr7	44746581	44750581	0.376	0.398	1.905187982339228	1.948930582707222	0.5735	0.5705
ATP2B2	TSC22D1	chr3	10706007	10710007	chr13	44575147	44579147	0.19	0.199	2.2204402224458093	2.2527074330072816	0.6	0.59275
SLC6A1	PABPC1	chr3	10990186	10994186	chr8	100720809	100724809	0.153	0.119	2.1052580504834477	2.1810371090459864	0.57125	0.57175
SYN2	KLC1	chr3	12002388	12006388	chr14	103559896	103563896	0.539	0.505	2.189832673399396	2.1949858434258807	0.537	0.54275
SATB1	NRF1	chr3	18443621	18447621	chr7	129609720	129613720	0.209	0.188	1.4694272911568462	1.4211200112391953	0.5515	0.5515
KAT2B	STT3B	chr3	20038446	20042446	chr3	31530638	31534638	0.461	0.48	1.6029634691664045	1.5815821892130841	0.54075	0.53425
TOP2B	PRRC2A	chr3	25662909	25666909	chr6	31618715	31622715	0.328	0.322	2.1315609256465105	2.192121222131705	0.51575	0.5185
CX3CR1	GSTM2	chr3	39279735	39283735	chr1	109666022	109670022	1.381	1.418	0.958207319195476	0.9808901544352178	0.52025	0.52225
CTNNB1	SYT4	chr3	41192741	41196741	chr18	43275535	43279535	0.139	0.319	2.3059142973012805	2.47357600955292	0.361	0.3705
SETD2	ARID4B	chr3	47162113	47166113	chr1	235326219	235330219	0.176	0.176	1.6156944472542614	1.523685349215916	0.54175	0.543
PLXNB1	CACNG4	chr3	48428086	48432086	chr17	66962707	66966707	0.615	0.59	1.8267270507882412	1.8454000798349932	0.62225	0.62525
