chrom	start	end	gene	category	width_kb	fixed_alu	ALU_count	LINE1_count	SVA_count
chr1	921923	925923	SAMD11	HighConfNDD	4.0	0	0	0	0
chr1	2225388	2229388	SKI	HighConfNDD	4.0	3	0	0	0
chr1	8846921	8850921	RERE	HighConfNDD	4.0	6	0	0	0
chr1	8943867	8947867	CA6	HighConfNDD	4.0	4	0	0	0
chr1	10794650	10798650	CASZ1	HighConfNDD	4.0	1	0	0	0
chr1	11260556	11264556	MTOR	HighConfNDD	4.0	7	0	0	0
chr1	11804455	11808455	MTHFR	HighConfNDD	4.0	2	0	0	0
chr1	15834095	15838095	SPEN	HighConfNDD	4.0	3	0	0	0
chr1	22708839	22712839	EPHB2	HighConfNDD	4.0	0	0	0	0
chr1	23342336	23346336	HNRNPR	HighConfNDD	4.0	3	1	0	0
chr1	27602431	27606431	AHDC1	HighConfNDD	4.0	0	0	0	0
chr1	32070031	32074031	TMEM39B	HighConfNDD	4.0	7	0	0	0
chr1	34927650	34931650	DLGAP3	HighConfNDD	4.0	2	0	0	0
chr1	35806016	35810016	AGO4	HighConfNDD	4.0	2	0	0	0
chr1	35867808	35871808	AGO1	HighConfNDD	4.0	8	0	0	0
chr1	35928718	35932718	AGO3	HighConfNDD	4.0	0	0	0	1
chr1	37032515	37036515	GRIK3	HighConfNDD	4.0	0	0	0	0
chr1	37857592	37861592	MTF1	HighConfNDD	4.0	3	0	0	0
chr1	40095260	40099260	PPT1	HighConfNDD	4.0	3	1	0	0
chr1	40342850	40346850	SMAP2	HighConfNDD	4.0	5	0	0	0
chr1	40663682	40667682	RIMS3	HighConfNDD	4.0	1	0	0	0
chr1	42033925	42037925	HIVEP3	HighConfNDD	4.0	1	0	0	0
chr1	43387882	43391882	SZT2	HighConfNDD	4.0	2	0	0	0
chr1	46218305	46222305	POMGNT1	HighConfNDD	4.0	4	0	0	1
chr1	50021954	50025954	AGBL4	HighConfNDD	4.0	0	0	0	0
chr1	52925276	52929276	SCP2	HighConfNDD	4.0	4	0	0	0
chr1	53194792	53198792	CPT2	HighConfNDD	4.0	0	0	0	0
chr1	53737164	53741164	GLIS1	HighConfNDD	4.0	0	0	0	0
chr1	60863259	60867259	NFIA	HighConfNDD	4.0	0	1	0	0
chr1	61740477	61744477	PATJ	HighConfNDD	4.0	4	0	0	0
chr1	62686386	62690386	DOCK7	HighConfNDD	4.0	3	0	0	0
chr1	70203682	70207682	SRSF11	HighConfNDD	4.0	1	2	0	0
chr1	72280539	72284539	NEGR1	HighConfNDD	4.0	0	0	0	0
chr1	96719665	96723665	PTBP2	HighConfNDD	4.0	2	0	0	0
chr1	97993000	97997000	DPYD	HighConfNDD	4.0	1	1	1	0
chr1	107138007	107142007	NTNG1	HighConfNDD	4.0	0	1	0	0
chr1	109685814	109689814	GSTM1	HighConfNDD	4.0	0	0	0	0
chr1	110629474	110633474	KCNA2	HighConfNDD	4.0	2	0	0	0
chr1	111501633	111505633	ADORA3	HighConfNDD	4.0	0	0	0	0
chr1	111987668	111991668	KCND3	HighConfNDD	4.0	0	0	0	0
