ndd_gene	matched_hk_gene	ndd_gc	hk_gc	ndd_genedens	hk_genedens	ndd_recomb	hk_recomb	ndd_alu_density	hk_alu_density
SAMD11	NOC2L	0.7	0.661	30.0	32.0	3.468	2.961	0.0	0.5
SKI	NPIPA1	0.71	0.664	17.0	12.0	0.468	0.112	0.75	0.0
RERE	NDUFB2	0.509	0.508	7.0	8.0	0.436	0.46	1.5	1.0
CA6	MPZL1	0.502	0.511	7.0	8.0	4.265	4.101	1.0	0.5
CASZ1	RER1	0.594	0.607	14.0	17.0	4.844	4.702	0.25	0.25
MTOR	DNAJC8	0.487	0.488	16.0	17.0	0.326	0.252	1.75	2.25
MTHFR	ARAF	0.513	0.512	18.0	16.0	2.088	2.182	0.5	0.75
SPEN	DYNLL1	0.562	0.567	23.0	22.0	0.57	0.572	0.75	1.5
EPHB2	DLGAP4	0.642	0.626	11.0	11.0	1.934	1.485	0.0	0.0
HNRNPR	SP2	0.512	0.51	17.0	16.0	0.465	0.55	0.75	0.25
AHDC1	ALKBH5	0.612	0.607	19.0	17.0	0.784	0.704	0.0	0.5
TMEM39B	ATP5MF-PTCD1	0.52	0.523	26.0	26.0	0.057	0.055	1.75	2.25
DLGAP3	CD81	0.62	0.624	12.0	14.0	2.877	3.115	0.5	0.0
AGO4	AK2	0.539	0.539	15.0	16.0	0.066	0.133	0.5	0.5
AGO1	DNAJC9	0.444	0.45	16.0	16.0	0.169	0.143	2.0	0.25
AGO3	NOB1	0.482	0.484	18.0	18.0	0.033	0.091	0.0	1.25
GRIK3	IRF2BP2	0.653	0.67	2.0	2.0	2.073	2.179	0.0	0.0
MTF1	ZFP91	0.505	0.505	17.0	17.0	0.066	0.055	0.75	0.25
PPT1	VBP1	0.456	0.458	19.0	19.0	0.304	0.191	0.75	0.25
SMAP2	RAP1A	0.418	0.422	16.0	15.0	2.612	3.007	1.25	0.25
RIMS3	NOP14	0.562	0.56	13.0	12.0	0.326	0.341	0.25	0.0
HIVEP3	RPS7	0.505	0.505	8.0	8.0	0.269	0.178	0.25	1.0
