ring	category	gene	promoter_per_kb	background_per_kb	normalised
10-100 kb	HighConfNDD	SAMD11	0.0	0.4	0.0
10-100 kb	HighConfNDD	SKI	0.75	0.4777777777777778	1.569767441860465
10-100 kb	HighConfNDD	RERE	1.5	1.3888888888888888	1.08
10-100 kb	HighConfNDD	CA6	1.0	1.2944444444444445	0.7725321888412017
10-100 kb	HighConfNDD	CASZ1	0.25	0.4888888888888889	0.5113636363636364
10-100 kb	HighConfNDD	MTOR	1.75	0.8277777777777777	2.1140939597315436
10-100 kb	HighConfNDD	MTHFR	0.5	0.9333333333333333	0.5357142857142857
10-100 kb	HighConfNDD	SPEN	0.75	1.5944444444444446	0.470383275261324
10-100 kb	HighConfNDD	EPHB2	0.0	0.42777777777777776	0.0
10-100 kb	HighConfNDD	HNRNPR	0.75	1.0	0.75
10-100 kb	HighConfNDD	AHDC1	0.0	0.7111111111111111	0.0
10-100 kb	HighConfNDD	TMEM39B	1.75	1.488888888888889	1.1753731343283582
10-100 kb	HighConfNDD	DLGAP3	0.5	0.6333333333333333	0.7894736842105263
10-100 kb	HighConfNDD	AGO4	0.5	1.1611111111111112	0.43062200956937796
10-100 kb	HighConfNDD	AGO1	2.0	1.0722222222222222	1.8652849740932642
10-100 kb	HighConfNDD	AGO3	0.0	1.0666666666666667	0.0
10-100 kb	HighConfNDD	GRIK3	0.0	0.15555555555555556	0.0
10-100 kb	HighConfNDD	MTF1	0.75	1.1444444444444444	0.6553398058252428
10-100 kb	HighConfNDD	PPT1	0.75	1.038888888888889	0.7219251336898395
10-100 kb	HighConfNDD	SMAP2	1.25	0.9111111111111111	1.3719512195121952
10-100 kb	HighConfNDD	RIMS3	0.25	0.8222222222222222	0.30405405405405406
10-100 kb	HighConfNDD	HIVEP3	0.25	0.18888888888888888	1.3235294117647058
10-100 kb	HighConfNDD	SZT2	0.5	0.5944444444444444	0.8411214953271028
10-100 kb	HighConfNDD	POMGNT1	1.0	1.1944444444444444	0.8372093023255814
10-100 kb	HighConfNDD	AGBL4	0.0	0.20555555555555555	0.0
10-100 kb	HighConfNDD	SCP2	1.0	1.261111111111111	0.7929515418502203
10-100 kb	HighConfNDD	CPT2	0.0	0.42777777777777776	0.0
10-100 kb	HighConfNDD	GLIS1	0.0	0.6833333333333333	0.0
10-100 kb	HighConfNDD	NFIA	0.0	0.16111111111111112	0.0
10-100 kb	HighConfNDD	PATJ	1.0	1.0777777777777777	0.9278350515463918
10-100 kb	HighConfNDD	DOCK7	0.75	0.5833333333333334	1.2857142857142856
10-100 kb	HighConfNDD	SRSF11	0.25	0.5333333333333333	0.46875
10-100 kb	HighConfNDD	NEGR1	0.0	0.15555555555555556	0.0
10-100 kb	HighConfNDD	PTBP2	0.5	0.34444444444444444	1.4516129032258065
10-100 kb	HighConfNDD	DPYD	0.25	0.15	1.6666666666666667
10-100 kb	HighConfNDD	NTNG1	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	GSTM1	0.0	0.3111111111111111	0.0
10-100 kb	HighConfNDD	KCNA2	0.5	0.1388888888888889	3.5999999999999996
