chrom	start	end	gene	fixed_alu	category	width_kb	PLS_n	ELS_n	CTCF_n	active_all_n	alu_free
chr1	921923	925923	SAMD11	0	HighConfNDD	4.0	2	10	0	12	True
chr1	2225388	2229388	SKI	3	HighConfNDD	4.0	2	11	0	13	False
chr1	8846921	8850921	RERE	6	HighConfNDD	4.0	0	5	0	5	False
chr1	8943867	8947867	CA6	4	HighConfNDD	4.0	1	8	0	9	False
chr1	10794650	10798650	CASZ1	1	HighConfNDD	4.0	1	8	0	10	False
chr1	11260556	11264556	MTOR	7	HighConfNDD	4.0	1	4	0	5	False
chr1	11804455	11808455	MTHFR	2	HighConfNDD	4.0	4	5	0	9	False
chr1	15834095	15838095	SPEN	3	HighConfNDD	4.0	0	12	0	12	False
chr1	22708839	22712839	EPHB2	0	HighConfNDD	4.0	1	9	0	10	True
chr1	23342336	23346336	HNRNPR	3	HighConfNDD	4.0	1	11	0	12	False
chr1	27602431	27606431	AHDC1	0	HighConfNDD	4.0	2	11	0	13	True
chr1	32070031	32074031	TMEM39B	7	HighConfNDD	4.0	2	4	0	6	False
chr1	34927650	34931650	DLGAP3	2	HighConfNDD	4.0	1	8	0	9	False
chr1	35806016	35810016	AGO4	2	HighConfNDD	4.0	1	10	0	11	False
chr1	35867808	35871808	AGO1	8	HighConfNDD	4.0	1	2	0	5	False
chr1	35928718	35932718	AGO3	0	HighConfNDD	4.0	2	7	0	10	True
chr1	37032515	37036515	GRIK3	0	HighConfNDD	4.0	2	10	0	12	True
chr1	37857592	37861592	MTF1	3	HighConfNDD	4.0	2	7	0	9	False
chr1	40095260	40099260	PPT1	3	HighConfNDD	4.0	1	5	1	6	False
chr1	40342850	40346850	SMAP2	5	HighConfNDD	4.0	0	2	0	3	False
chr1	40663682	40667682	RIMS3	1	HighConfNDD	4.0	3	7	0	10	False
chr1	42033925	42037925	HIVEP3	1	HighConfNDD	4.0	2	8	0	10	False
chr1	43387882	43391882	SZT2	2	HighConfNDD	4.0	1	6	0	7	False
chr1	46218305	46222305	POMGNT1	4	HighConfNDD	4.0	1	5	0	6	False
chr1	50021954	50025954	AGBL4	0	HighConfNDD	4.0	1	2	0	3	True
chr1	52925276	52929276	SCP2	4	HighConfNDD	4.0	1	7	0	8	False
chr1	53194792	53198792	CPT2	0	HighConfNDD	4.0	1	9	0	10	True
chr1	53737164	53741164	GLIS1	0	HighConfNDD	4.0	1	11	0	12	True
chr1	60863259	60867259	NFIA	0	HighConfNDD	4.0	1	7	0	8	True
chr1	61740477	61744477	PATJ	4	HighConfNDD	4.0	1	9	0	10	False
chr1	62686386	62690386	DOCK7	3	HighConfNDD	4.0	2	8	0	11	False
chr1	70203682	70207682	SRSF11	1	HighConfNDD	4.0	2	9	0	11	False
chr1	72280539	72284539	NEGR1	0	HighConfNDD	4.0	2	7	0	9	True
chr1	96719665	96723665	PTBP2	2	HighConfNDD	4.0	4	6	0	10	False
chr1	97993000	97997000	DPYD	1	HighConfNDD	4.0	0	1	0	1	False
chr1	107138007	107142007	NTNG1	0	HighConfNDD	4.0	4	7	0	11	True
chr1	109685814	109689814	GSTM1	0	HighConfNDD	4.0	2	5	0	7	True
chr1	110629474	110633474	KCNA2	2	HighConfNDD	4.0	1	7	0	8	False
chr1	111501633	111505633	ADORA3	0	HighConfNDD	4.0	2	4	0	6	True
chr1	111987668	111991668	KCND3	0	HighConfNDD	4.0	4	8	0	12	True
chr1	114509203	114513203	TRIM33	2	HighConfNDD	4.0	1	11	0	12	False
chr1	114693618	114697618	AMPD1	3	HighConfNDD	4.0	0	4	0	5	False
chr1	114756676	114760676	CSDE1	2	HighConfNDD	4.0	1	4	1	5	False
chr1	115974513	115978513	SLC22A15	1	HighConfNDD	4.0	2	8	0	10	False
chr1	116370668	116374668	ATP1A1	1	HighConfNDD	4.0	2	7	0	9	False
chr1	150267580	150271580	APH1A	4	HighConfNDD	4.0	3	4	0	8	False
chr1	150924263	150928263	SETDB1	7	HighConfNDD	4.0	1	8	0	9	False
chr1	151457494	151461494	POGZ	4	HighConfNDD	4.0	2	8	0	10	False
chr1	153669028	153673028	ILF2	7	HighConfNDD	4.0	1	8	0	10	False
chr1	154218179	154222179	UBAP2L	0	HighConfNDD	4.0	2	5	0	7	True
chr1	154565778	154569778	CHRNB2	1	HighConfNDD	4.0	2	4	0	8	False
chr1	155561162	155565162	ASH1L	3	HighConfNDD	4.0	4	6	0	11	False
chr1	156570604	156574604	IQGAP3	2	HighConfNDD	4.0	1	5	1	7	False
chr1	156813636	156817636	NTRK1	1	HighConfNDD	4.0	3	8	0	11	False
chr1	158928796	158932796	PYHIN1	0	HighConfNDD	4.0	1	4	0	5	True
chr1	159798511	159802511	FCRL6	1	HighConfNDD	4.0	2	5	0	7	False
chr1	160068483	160072483	KCNJ10	1	HighConfNDD	4.0	2	9	0	11	False
chr1	160113759	160117759	ATP1A2	0	HighConfNDD	4.0	1	11	0	12	True
chr1	164553584	164557584	PBX1	6	HighConfNDD	4.0	0	1	0	1	False
chr1	173712941	173716941	KLHL20	0	HighConfNDD	4.0	1	5	0	6	True
chr1	177162973	177166973	ASTN1	0	HighConfNDD	4.0	2	4	0	6	True
chr1	181315690	181319690	CACNA1E	0	HighConfNDD	4.0	0	7	0	7	True
chr1	186678922	186682922	PTGS2	0	HighConfNDD	4.0	3	8	0	11	True
chr1	197144694	197148694	ASPM	2	HighConfNDD	4.0	2	7	0	10	False
chr1	198636457	198640457	PTPRC	0	HighConfNDD	4.0	1	9	0	10	True
chr1	200618751	200622751	KIF14	4	HighConfNDD	4.0	1	8	0	9	False
chr1	202806487	202810487	KDM5B	0	HighConfNDD	4.0	1	10	0	11	True
chr1	203793623	203797623	ZC3H11A	2	HighConfNDD	4.0	1	7	0	9	False
chr1	205040937	205044937	CNTN2	0	HighConfNDD	4.0	2	10	0	12	True
chr1	205120015	205124015	RBBP5	3	HighConfNDD	4.0	2	4	0	7	False
chr1	206115699	206119699	AVPR1B	3	HighConfNDD	4.0	2	5	0	7	False
chr1	206505531	206509531	RASSF5	0	HighConfNDD	4.0	1	8	0	9	True
chr1	209684178	209688178	HSD11B1	0	HighConfNDD	4.0	1	4	0	5	True
chr1	216421448	216425448	USH2A	1	HighConfNDD	4.0	1	1	0	2	False
chr1	220526136	220530136	MARK1	0	HighConfNDD	4.0	2	9	0	11	True
chr1	229506341	229510341	NUP133	2	HighConfNDD	4.0	1	6	0	7	False
chr1	231526653	231530653	TSNAX-DISC1	1	HighConfNDD	4.0	3	8	0	11	False
chr1	231624790	231628790	DISC1	3	HighConfNDD	4.0	1	7	0	8	False
chr1	239384565	239388565	CHRM3	0	HighConfNDD	4.0	4	5	0	9	True
chr1	241355374	241359374	RGS7	0	HighConfNDD	4.0	3	5	0	9	True
chr1	244449909	244453909	ADSS2	0	HighConfNDD	4.0	0	10	0	10	True
chr1	244862560	244866560	HNRNPU	0	HighConfNDD	4.0	6	9	0	15	True
chr1	247758556	247762556	OR1C1	1	HighConfNDD	4.0	0	0	0	0	False
chr1	248229417	248233417	OR2M4	2	HighConfNDD	4.0	0	0	0	1	False
chr1	248595700	248599700	OR2T10	1	HighConfNDD	4.0	0	0	0	3	False
chr10	128088	132088	ZMYND11	4	HighConfNDD	4.0	0	3	0	4	False
chr10	687668	691668	DIP2C	0	HighConfNDD	4.0	2	11	0	13	True
chr10	10796397	10800397	CELF2	2	HighConfNDD	4.0	2	6	0	8	False
chr10	12041170	12045170	UPF2	2	HighConfNDD	4.0	2	6	0	8	False
chr10	18138424	18142424	CACNB2	3	HighConfNDD	4.0	3	6	0	9	False
chr10	27744060	27748060	MKX	0	HighConfNDD	4.0	3	9	0	12	True
chr10	28530493	28534493	WAC	3	HighConfNDD	4.0	6	5	0	11	False
chr10	43407186	43411186	HNRNPF	5	HighConfNDD	4.0	3	8	0	11	False
chr10	48682873	48686873	WDFY4	3	HighConfNDD	4.0	1	9	0	10	False
chr10	55625942	55629942	PCDH15	0	HighConfNDD	4.0	0	8	0	10	True
chr10	60731490	60735490	ANK3	0	HighConfNDD	4.0	2	8	0	10	True
chr10	63519401	63523401	REEP3	1	HighConfNDD	4.0	1	9	0	10	False
chr10	63519850	63523850	JMJD1C	1	HighConfNDD	4.0	1	10	0	11	False
chr10	67761637	67765637	CTNNA3	2	HighConfNDD	4.0	1	8	0	9	False
chr10	74149202	74153202	ADK	1	HighConfNDD	4.0	2	7	0	10	False
chr10	77636369	77640369	KCNMA1	0	HighConfNDD	4.0	4	7	0	11	True
chr10	79066966	79070966	ZMIZ1	0	HighConfNDD	4.0	3	9	0	12	True
chr10	80342745	80346745	DYDC2	5	HighConfNDD	4.0	1	2	1	3	False
chr10	80354755	80358755	DYDC1	1	HighConfNDD	4.0	2	2	0	5	False
chr10	86364795	86368795	GRID1	0	HighConfNDD	4.0	1	10	0	12	True
chr10	87860638	87864638	PTEN	0	HighConfNDD	4.0	3	10	0	13	True
chr10	91921770	91925770	BTAF1	2	HighConfNDD	4.0	1	7	0	9	False
chr10	92824831	92828831	EXOC6	3	HighConfNDD	4.0	0	3	0	3	False
chr10	93755840	93759840	LGI1	0	HighConfNDD	4.0	2	8	0	10	True
chr10	93891973	93895973	SLC35G1	1	HighConfNDD	4.0	1	8	0	9	False
chr10	100994618	100998618	LZTS2	1	HighConfNDD	4.0	2	10	0	12	False
chr10	101352033	101356033	BTRC	2	HighConfNDD	4.0	2	6	0	8	False
chr10	102118368	102122368	LDB1	0	HighConfNDD	4.0	1	11	0	12	True
chr10	102852272	102856272	BORCS7-ASMT	9	HighConfNDD	4.0	2	3	0	5	False
chr10	104639290	104643290	SORCS3	0	HighConfNDD	4.0	1	8	0	9	True
chr10	110565684	110569684	SMC3	4	HighConfNDD	4.0	1	8	0	9	False
chr10	112948247	112952247	TCF7L2	0	HighConfNDD	4.0	4	6	0	10	True
chr10	126903409	126907409	DOCK1	0	HighConfNDD	4.0	1	10	0	12	True
chr10	129971053	129975053	EBF3	0	HighConfNDD	4.0	1	8	0	11	True
chr11	535321	539321	HRAS	2	HighConfNDD	4.0	3	10	0	13	False
chr11	574470	578470	PHRF1	0	HighConfNDD	4.0	1	12	0	13	True
chr11	705118	709118	DEAF1	0	HighConfNDD	4.0	4	9	0	13	True
chr11	796281	800281	SLC25A22	1	HighConfNDD	4.0	4	6	0	11	False
chr11	840812	844812	TSPAN4	3	HighConfNDD	4.0	4	7	0	11	False
chr11	1387899	1391899	BRSK2	0	HighConfNDD	4.0	3	9	0	12	True
chr11	1762573	1766573	CTSD	3	HighConfNDD	4.0	4	5	0	9	False
chr11	4543191	4547191	OR52M1	0	HighConfNDD	4.0	0	1	0	2	True
chr11	6417414	6421414	APBB1	2	HighConfNDD	4.0	2	5	0	8	False
chr11	6617448	6621448	TPP1	0	HighConfNDD	4.0	2	7	0	9	True
chr11	17732774	17736774	KCNC1	0	HighConfNDD	4.0	1	9	0	10	True
chr11	19348724	19352724	NAV2	0	HighConfNDD	4.0	1	6	0	7	True
chr11	22623509	22627509	GAS2	3	HighConfNDD	4.0	2	8	0	10	False
chr11	31507755	31511755	ELP4	0	HighConfNDD	4.0	1	10	0	11	True
chr11	34049731	34053731	CAPRIN1	1	HighConfNDD	4.0	4	6	0	10	False
chr11	41457773	41461773	LRRC4C	0	HighConfNDD	4.0	2	7	0	10	True
chr11	46119454	46123454	PHF21A	0	HighConfNDD	4.0	4	9	0	13	True
chr11	57333892	57337892	SSRP1	2	HighConfNDD	4.0	1	7	0	8	False
chr11	57751243	57755243	CTNND1	5	HighConfNDD	4.0	3	2	1	6	False
chr11	61428031	61432031	CPSF7	5	HighConfNDD	4.0	4	5	0	9	False
chr11	61678391	61682391	DAGLA	1	HighConfNDD	4.0	1	8	0	9	False
chr11	62554235	62558235	AHNAK	5	HighConfNDD	4.0	0	11	0	11	False
chr11	62725384	62729384	HNRNPUL2-BSCL2	2	HighConfNDD	4.0	4	9	0	13	False
chr11	62725457	62729457	HNRNPUL2	2	HighConfNDD	4.0	4	8	0	12	False
chr11	63367785	63371785	SLC22A9	0	HighConfNDD	4.0	1	3	0	5	True
chr11	63836928	63840928	MARK2	0	HighConfNDD	4.0	2	8	0	10	True
chr11	64721197	64725197	NRXN2	0	HighConfNDD	4.0	2	11	0	13	True
chr11	64776786	64780786	SF1	2	HighConfNDD	4.0	4	6	0	10	False
chr11	65259913	65263913	POLA2	5	HighConfNDD	4.0	1	8	0	10	False
chr11	65593996	65597996	KCNK7	3	HighConfNDD	4.0	1	7	0	10	False
chr11	66068272	66072272	PACS1	0	HighConfNDD	4.0	2	9	0	11	True
chr11	66478013	66482013	DPP3	2	HighConfNDD	4.0	2	9	0	11	False
chr11	66566879	66570879	CTSF	4	HighConfNDD	4.0	2	9	0	11	False
chr11	68211852	68215852	KMT5B	0	HighConfNDD	4.0	2	11	0	13	True
chr11	70268690	70272690	PPFIA1	3	HighConfNDD	4.0	1	9	0	10	False
chr11	71250577	71254577	SHANK2	0	HighConfNDD	4.0	1	11	0	12	True
chr11	71450868	71454868	DHCR7	2	HighConfNDD	4.0	1	9	0	10	False
chr11	76442923	76446923	EMSY	1	HighConfNDD	4.0	2	8	0	10	False
chr11	85626335	85630335	DLG2	0	HighConfNDD	4.0	5	6	0	11	True
chr11	89063982	89067982	GRM5	0	HighConfNDD	4.0	2	2	0	5	True
chr11	99018949	99022949	CNTN5	0	HighConfNDD	4.0	2	5	0	7	True
chr11	101870562	101874562	TRPC6	1	HighConfNDD	4.0	0	2	2	2	False
chr11	107016476	107020476	GUCY1A2	0	HighConfNDD	4.0	3	7	0	10	True
chr11	111764389	111768389	PPP2R1B	1	HighConfNDD	4.0	1	8	0	9	False
chr11	111925144	111929144	DIXDC1	4	HighConfNDD	4.0	4	6	0	11	False
chr11	113473691	113477691	DRD2	0	HighConfNDD	4.0	2	7	0	9	True
chr11	113973075	113977075	HTR3A	2	HighConfNDD	4.0	1	7	0	8	False
chr11	114057041	114061041	ZBTB16	0	HighConfNDD	4.0	6	5	0	11	True
chr11	115502957	115506957	CADM1	1	HighConfNDD	4.0	1	9	1	10	False
chr11	117142284	117146284	PAFAH1B2	1	HighConfNDD	4.0	1	7	0	8	False
chr11	118434456	118438456	KMT2A	0	HighConfNDD	4.0	2	10	0	12	True
chr11	119344705	119348705	MFRP	1	HighConfNDD	4.0	1	6	0	8	False
chr11	120509746	120513746	GRIK4	0	HighConfNDD	4.0	1	8	0	11	True
chr11	121022072	121026072	TBCEL	0	HighConfNDD	4.0	2	6	0	8	True
chr11	121022125	121026125	TBCEL-TECTA	0	HighConfNDD	4.0	2	6	0	8	True
chr11	121099243	121103243	TECTA	0	HighConfNDD	4.0	0	1	1	2	True
chr11	124798706	124802706	MSANTD2	1	HighConfNDD	4.0	3	7	0	10	False
chr11	126267144	126271144	SRPRA	1	HighConfNDD	4.0	1	7	0	8	False
chr11	127001460	127005460	KIRREL3	0	HighConfNDD	4.0	2	6	0	9	True
chr11	129277324	129281324	ARHGAP32	0	HighConfNDD	4.0	0	12	0	12	True
chr12	387320	391320	KDM5A	1	HighConfNDD	4.0	2	8	0	10	False
chr12	1968772	1972772	CACNA1C	0	HighConfNDD	4.0	2	7	0	9	True
chr12	4718400	4722400	GALNT8	1	HighConfNDD	4.0	2	6	0	8	False
chr12	4907905	4911905	KCNA1	1	HighConfNDD	4.0	4	7	0	13	False
chr12	10672318	10676318	STYK1	3	HighConfNDD	4.0	1	9	0	10	False
chr12	13980002	13984002	GRIN2B	0	HighConfNDD	4.0	2	6	0	9	True
chr12	20808702	20812702	SLCO1B3	2	HighConfNDD	4.0	1	2	0	3	False
chr12	20813674	20817674	SLCO1B3-SLCO1B7	2	HighConfNDD	4.0	0	0	0	1	False
chr12	24560544	24564544	SOX5	0	HighConfNDD	4.0	2	11	0	13	True
chr12	28131249	28135249	CCDC91	0	HighConfNDD	4.0	0	7	0	7	True
chr12	42588355	42592355	PRICKLE1	1	HighConfNDD	4.0	2	6	0	10	False
chr12	45727706	45731706	ARID2	0	HighConfNDD	4.0	4	9	0	13	True
chr12	47941048	47945048	VDR	0	HighConfNDD	4.0	1	8	0	9	True
chr12	48955487	48959487	ARF3	3	HighConfNDD	4.0	2	7	0	9	False
chr12	48976322	48980322	WNT1	1	HighConfNDD	4.0	1	10	0	11	False
chr12	51588266	51592266	SCN8A	2	HighConfNDD	4.0	2	8	0	10	False
chr12	56187567	56191567	SMARCC2	2	HighConfNDD	4.0	2	9	0	11	False
chr12	57126483	57130483	LRP1	0	HighConfNDD	4.0	3	10	0	13	True
chr12	57518710	57522710	MBD6	2	HighConfNDD	4.0	4	7	0	11	False
chr12	57740157	57744157	AGAP2	2	HighConfNDD	4.0	1	9	0	10	False
chr12	62258338	62262338	USP15	1	HighConfNDD	4.0	1	10	0	11	False
chr12	63149201	63153201	AVPR1A	0	HighConfNDD	4.0	1	11	0	12	True
chr12	65167583	65171583	LEMD3	1	HighConfNDD	4.0	2	7	0	9	False
chr12	67067162	67071162	GRIP1	0	HighConfNDD	4.0	0	11	0	11	True
chr12	70635440	70639440	PTPRB	0	HighConfNDD	4.0	1	5	0	6	True
chr12	75509636	75513636	KRR1	1	HighConfNDD	4.0	2	4	0	6	False
chr12	77322641	77326641	NAV3	0	HighConfNDD	4.0	0	8	0	9	True
chr12	88140099	88144099	CEP290	0	HighConfNDD	4.0	2	6	0	8	True
chr12	99982936	99986936	ANKS1B	0	HighConfNDD	4.0	2	8	0	11	True
chr12	102956410	102960410	PAH	0	HighConfNDD	4.0	1	10	0	11	True
chr12	106136954	106140954	NUAK1	0	HighConfNDD	4.0	2	11	0	13	True
chr12	111032165	111036165	CUX2	0	HighConfNDD	4.0	1	10	0	11	True
chr12	112380439	112384439	HECTD4	4	HighConfNDD	4.0	2	6	0	10	False
chr12	112416351	112420351	PTPN11	9	HighConfNDD	4.0	2	6	0	8	False
chr12	116275693	116279693	MED13L	2	HighConfNDD	4.0	2	9	0	11	False
chr12	119987236	119991236	BICDL1	1	HighConfNDD	4.0	2	8	0	10	False
chr12	121580279	121584279	KDM2B	1	HighConfNDD	4.0	4	8	0	13	False
chr12	121802009	121806009	SETD1B	0	HighConfNDD	4.0	6	6	0	12	True
chr12	122750824	122754824	DENR	1	HighConfNDD	4.0	1	8	0	9	False
chr12	123710353	123714353	ATP6V0A2	3	HighConfNDD	4.0	1	10	0	11	False
chr12	123760188	123764188	DNAH10	3	HighConfNDD	4.0	3	3	0	8	False
chr12	131947942	131951942	EP400	10	HighConfNDD	4.0	2	7	0	10	False
chr13	19956677	19960677	ZMYM2	0	HighConfNDD	4.0	3	10	0	13	True
chr13	23431763	23435763	SACS	3	HighConfNDD	4.0	1	9	0	10	False
chr13	30305551	30309551	KATNAL1	0	HighConfNDD	4.0	3	7	0	10	True
chr13	32313086	32317086	BRCA2	3	HighConfNDD	4.0	2	5	1	7	False
chr13	34940270	34944270	NBEA	0	HighConfNDD	4.0	1	8	0	9	True
chr13	49442274	49446274	SETDB2	3	HighConfNDD	4.0	1	8	0	9	False
chr13	51452264	51456264	INTS6	0	HighConfNDD	4.0	4	7	0	11	True
chr13	67228445	67232445	PCDH9	0	HighConfNDD	4.0	2	8	0	10	True
chr13	76988660	76992660	CLN5	2	HighConfNDD	4.0	1	4	0	5	False
chr13	77325094	77329094	MYCBP2	0	HighConfNDD	4.0	2	7	0	9	True
chr13	80339126	80343126	SPRY2	0	HighConfNDD	4.0	2	11	0	13	True
chr13	87669371	87673371	SLITRK5	0	HighConfNDD	4.0	4	6	0	11	True
chr13	93224807	93228807	GPC6	0	HighConfNDD	4.0	2	12	0	14	True
chr13	108594152	108598152	MYO16	0	HighConfNDD	4.0	1	3	0	5	True
chr13	114312482	114316482	CHAMP1	5	HighConfNDD	4.0	1	6	0	7	False
chr14	21382019	21386019	SUPT16H	0	HighConfNDD	4.0	2	7	0	9	True
chr14	21454126	21458126	CHD8	5	HighConfNDD	4.0	1	5	0	6	False
chr14	22827820	22831820	SLC7A7	4	HighConfNDD	4.0	2	5	0	8	False
chr14	28762329	28766329	FOXG1	0	HighConfNDD	4.0	3	9	0	12	True
chr14	32074114	32078114	ARHGAP5	0	HighConfNDD	4.0	2	10	0	12	True
chr14	39430466	39434466	FBXO33	0	HighConfNDD	4.0	3	9	0	12	True
chr14	41604876	41608876	LRFN5	0	HighConfNDD	4.0	4	8	0	12	True
chr14	45082107	45086107	PRPF39	1	HighConfNDD	4.0	1	12	0	13	False
chr14	47673605	47677605	MDGA2	0	HighConfNDD	4.0	1	10	0	11	True
chr14	50229578	50233578	SOS2	1	HighConfNDD	4.0	2	9	0	11	False
chr14	57266905	57270905	EXOC5	1	HighConfNDD	4.0	2	8	0	10	False
chr14	63100037	63104037	KCNH5	1	HighConfNDD	4.0	1	4	0	5	False
chr14	64336112	64340112	ESR2	2	HighConfNDD	4.0	3	5	0	9	False
chr14	66505407	66509407	GPHN	1	HighConfNDD	4.0	5	5	0	10	False
chr14	67814590	67818590	ZFYVE26	3	HighConfNDD	4.0	1	9	0	10	False
chr14	76308712	76312712	ESRRB	0	HighConfNDD	4.0	2	5	0	7	True
chr14	76759468	76763468	VASH1	0	HighConfNDD	4.0	4	8	0	12	True
chr14	77026708	77030708	IRF2BPL	2	HighConfNDD	4.0	3	8	0	12	False
chr14	78168373	78172373	NRXN3	0	HighConfNDD	4.0	1	2	0	3	True
chr14	91415844	91419844	CCDC88C	0	HighConfNDD	4.0	6	7	0	13	True
chr14	93331219	93335219	UNC79	1	HighConfNDD	4.0	2	7	0	9	False
chr14	100236298	100240298	YY1	2	HighConfNDD	4.0	3	8	0	11	False
chr14	101962573	101966573	DYNC1H1	1	HighConfNDD	4.0	2	7	0	10	False
chr14	103055549	103059549	CDC42BPB	1	HighConfNDD	4.0	2	8	0	11	False
chr15	22771063	22775063	NIPA1	1	HighConfNDD	4.0	0	1	0	1	False
chr15	22836644	22840644	NIPA2	7	HighConfNDD	4.0	1	7	0	8	False
chr15	22979063	22983063	CYFIP1	4	HighConfNDD	4.0	1	8	0	10	False
chr15	23037572	23041572	TUBGCP5	2	HighConfNDD	4.0	1	5	0	7	False
chr15	23645867	23649867	MAGEL2	0	HighConfNDD	4.0	1	7	1	9	True
chr15	25437051	25441051	UBE3A	1	HighConfNDD	4.0	3	6	0	9	False
chr15	25863184	25867184	ATP10A	0	HighConfNDD	4.0	3	4	1	8	True
chr15	26937539	26941539	GABRB3	0	HighConfNDD	4.0	0	1	0	1	True
chr15	26969181	26973181	GABRG3	2	HighConfNDD	4.0	2	5	0	8	False
chr15	28882483	28886483	APBA2	3	HighConfNDD	4.0	3	3	1	6	False
chr15	29267822	29271822	NSMCE3	0	HighConfNDD	4.0	1	9	0	10	True
chr15	30622494	30626494	ARHGAP11B	3	HighConfNDD	4.0	2	4	0	6	False
chr15	30888559	30892559	FAN1	2	HighConfNDD	4.0	0	1	0	1	False
