chrom	start	end	gene	strand	fixed_alu	category	tss	gene_density	recomb_cM_Mb
chr1	921923	925923	SAMD11	+	0	HighConfNDD	923923	30.0	3.467800635857481
chr1	2225388	2229388	SKI	+	3	HighConfNDD	2227388	17.0	0.46832855009459884
chr1	8846921	8850921	RERE	-	6	HighConfNDD	8848921	7.0	0.4358280576868978
chr1	8943867	8947867	CA6	+	4	HighConfNDD	8945867	7.0	4.265075511069476
chr1	10794650	10798650	CASZ1	-	1	HighConfNDD	10796650	14.0	4.843687736145945
chr1	11260556	11264556	MTOR	-	7	HighConfNDD	11262556	16.0	0.32618270955644846
chr1	11804455	11808455	MTHFR	-	2	HighConfNDD	11806455	18.0	2.0875995796766134
chr1	15834095	15838095	SPEN	+	3	HighConfNDD	15836095	23.0	0.5699117810800658
chr1	22708839	22712839	EPHB2	+	0	HighConfNDD	22710839	11.0	1.9341537640059414
chr1	23342336	23346336	HNRNPR	-	3	HighConfNDD	23344336	17.0	0.46513840287957464
chr1	27602431	27606431	AHDC1	-	0	HighConfNDD	27604431	19.0	0.783849887526884
chr1	32070031	32074031	TMEM39B	+	7	HighConfNDD	32072031	26.0	0.05659011435639627
chr1	34927650	34931650	DLGAP3	-	2	HighConfNDD	34929650	12.0	2.876829628939106
chr1	35806016	35810016	AGO4	+	2	HighConfNDD	35808016	15.0	0.06622830538574931
chr1	35867808	35871808	AGO1	+	8	HighConfNDD	35869808	16.0	0.1690106775136968
chr1	35928718	35932718	AGO3	+	0	HighConfNDD	35930718	18.0	0.033014505470774225
chr1	37032515	37036515	GRIK3	-	0	HighConfNDD	37034515	2.0	2.0728227027640855
chr1	37857592	37861592	MTF1	-	3	HighConfNDD	37859592	17.0	0.06602916323672048
chr1	40095260	40099260	PPT1	-	3	HighConfNDD	40097260	19.0	0.30423065013266637
chr1	40342850	40346850	SMAP2	+	5	HighConfNDD	40344850	16.0	2.6121951838938173
chr1	40663682	40667682	RIMS3	-	1	HighConfNDD	40665682	13.0	0.3257058045292638
chr1	42033925	42037925	HIVEP3	-	1	HighConfNDD	42035925	8.0	0.2690606782658733
chr1	43387882	43391882	SZT2	+	2	HighConfNDD	43389882	16.0	0.06986961445576867
chr1	46218305	46222305	POMGNT1	-	4	HighConfNDD	46220305	20.0	0.28170567184744755
chr1	50021954	50025954	AGBL4	-	0	HighConfNDD	50023954	2.0	0.03849530623654118
chr1	52925276	52929276	SCP2	+	4	HighConfNDD	52927276	13.0	0.21175133857880724
chr1	53194792	53198792	CPT2	+	0	HighConfNDD	53196792	12.0	2.028616739982141
chr1	53737164	53741164	GLIS1	-	0	HighConfNDD	53739164	15.0	1.5861808900095298
chr1	60863259	60867259	NFIA	+	0	HighConfNDD	60865259	0.0	1.7179682117340178
chr1	61740477	61744477	PATJ	+	4	HighConfNDD	61742477	2.0	1.3878000264502077
chr1	62686386	62690386	DOCK7	-	3	HighConfNDD	62688386	5.0	0.21340360953558957
chr1	70203682	70207682	SRSF11	+	1	HighConfNDD	70205682	3.0	0.05996128664179423
chr1	72280539	72284539	NEGR1	-	0	HighConfNDD	72282539	0.0	0.2801159168286915
chr1	96719665	96723665	PTBP2	+	2	HighConfNDD	96721665	0.0	0.08298796456983837
chr1	97993000	97997000	DPYD	-	1	HighConfNDD	97995000	0.0	0.11047173477791716
chr1	107138007	107142007	NTNG1	+	0	HighConfNDD	107140007	1.0	1.6242287087248997
chr1	109685814	109689814	GSTM1	+	0	HighConfNDD	109687814	25.0	1.5599070292887518
chr1	110629474	110633474	KCNA2	-	2	HighConfNDD	110631474	10.0	1.1081384793160964
chr1	111501633	111505633	ADORA3	-	0	HighConfNDD	111503633	15.0	2.1699983095183484
chr1	111987668	111991668	KCND3	-	0	HighConfNDD	111989668	7.0	2.3157483174733784
chr1	114509203	114513203	TRIM33	-	2	HighConfNDD	114511203	8.0	0.19539623662097938
chr1	114693618	114697618	AMPD1	-	3	HighConfNDD	114695618	9.0	0.14775665610727629
chr1	114756676	114760676	CSDE1	-	2	HighConfNDD	114758676	9.0	0.25266357351739543
chr1	115974513	115978513	SLC22A15	+	1	HighConfNDD	115976513	5.0	0.15370368130732004
chr1	116370668	116374668	ATP1A1	+	1	HighConfNDD	116372668	5.0	1.3020281969485836
chr1	150267580	150271580	APH1A	-	4	HighConfNDD	150269580	34.0	0.19998618730539874
chr1	150924263	150928263	SETDB1	+	7	HighConfNDD	150926263	33.0	0.05484784281691191
chr1	151457494	151461494	POGZ	-	4	HighConfNDD	151459494	35.0	0.49270640995672466
chr1	153669028	153673028	ILF2	-	7	HighConfNDD	153671028	35.0	0.6789665221586461
chr1	154218179	154222179	UBAP2L	+	0	HighConfNDD	154220179	25.0	0.1290631737737158
chr1	154565778	154569778	CHRNB2	+	1	HighConfNDD	154567778	27.0	0.45607061841423047
chr1	155561162	155565162	ASH1L	-	3	HighConfNDD	155563162	34.0	0.030383805694498278
chr1	156570604	156574604	IQGAP3	-	2	HighConfNDD	156572604	34.0	0.4732576057747906
chr1	156813636	156817636	NTRK1	+	1	HighConfNDD	156815636	24.0	3.398047143495262
chr1	158928796	158932796	PYHIN1	+	0	HighConfNDD	158930796	20.0	3.384843413475096
chr1	159798511	159802511	FCRL6	+	1	HighConfNDD	159800511	25.0	6.498154506815297
chr1	160068483	160072483	KCNJ10	-	1	HighConfNDD	160070483	26.0	0.8059526442474407
chr1	160113759	160117759	ATP1A2	+	0	HighConfNDD	160115759	26.0	1.7604985745430213
chr1	164553584	164557584	PBX1	+	6	HighConfNDD	164555584	0.0	5.036276282766323
chr1	173712941	173716941	KLHL20	+	0	HighConfNDD	173714941	13.0	0.06285374811369593
chr1	177162973	177166973	ASTN1	-	0	HighConfNDD	177164973	1.0	0.9422521016779228
chr1	181315690	181319690	CACNA1E	+	0	HighConfNDD	181317690	4.0	2.207169338741437
chr1	186678922	186682922	PTGS2	-	0	HighConfNDD	186680922	5.0	0.13438857050005026
chr1	197144694	197148694	ASPM	-	2	HighConfNDD	197146694	10.0	0.10439077960029408
chr1	198636457	198640457	PTPRC	+	0	HighConfNDD	198638457	2.0	0.5460283428431012
chr1	200618751	200622751	KIF14	-	4	HighConfNDD	200620751	7.0	0.27022970089205955
chr1	202806487	202810487	KDM5B	-	0	HighConfNDD	202808487	15.0	0.9100094274779735
chr1	203793623	203797623	ZC3H11A	+	2	HighConfNDD	203795623	14.0	1.2262435890190204
chr1	205040937	205044937	CNTN2	+	0	HighConfNDD	205042937	11.0	2.6341596289830704
chr1	205120015	205124015	RBBP5	-	3	HighConfNDD	205122015	12.0	0.19406129814029782
chr1	206115699	206119699	AVPR1B	-	3	HighConfNDD	206117699	15.0	2.1441694016783686
chr1	206505531	206509531	RASSF5	+	0	HighConfNDD	206507531	16.0	2.146301524617229
chr1	209684178	209688178	HSD11B1	+	0	HighConfNDD	209686178	9.0	3.1946292839270996
chr1	216421448	216425448	USH2A	-	1	HighConfNDD	216423448	0.0	1.3342180549815907
chr1	220526136	220530136	MARK1	+	0	HighConfNDD	220528136	9.0	0.18739325129928375
chr1	229506341	229510341	NUP133	-	2	HighConfNDD	229508341	6.0	0.09409525218018189
chr1	231526653	231530653	TSNAX-DISC1	+	1	HighConfNDD	231528653	10.0	0.32638167154544817
chr1	231624790	231628790	DISC1	+	3	HighConfNDD	231626790	9.0	0.7745740054696171
chr1	239384565	239388565	CHRM3	+	0	HighConfNDD	239386565	0.0	2.5661708792591753
chr1	241355374	241359374	RGS7	-	0	HighConfNDD	241357374	6.0	3.1746529722005334
chr1	244449909	244453909	ADSS2	-	0	HighConfNDD	244451909	7.0	2.1238588622071575
chr1	244862560	244866560	HNRNPU	-	0	HighConfNDD	244864560	7.0	5.145856197241869
chr1	247758556	247762556	OR1C1	-	1	HighConfNDD	247760556	30.0	0.49904504476785405
chr1	248229417	248233417	OR2M4	+	2	HighConfNDD	248231417	38.0	0.32577883858664336
chr1	248595700	248599700	OR2T10	-	1	HighConfNDD	248597700	28.0	1.8819484360983552
